Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
Yes,0.8718809999999999,0.226331,0.691775,0.010726000000000001,0.010518000000000001,0.019207,0.5,0.7799659999999999,0.047325,5e-06,0.226331
No,0.498069,0.10393499999999999,0.730302,0.369352,0.285171,0.24765700000000002,0.25,0.755542,0.8435809999999999,0.00038700000000000003,0.10393499999999999
No,0.748085,0.107293,0.713005,0.255357,0.22460500000000003,0.364179,0.25,0.690714,0.6669930000000001,0.000144,0.107293
No,0.5459109999999999,0.145899,0.702676,0.357177,0.527834,0.16072999999999998,0.25,0.665501,0.726522,0.000559,0.145899
No,0.42461499999999996,0.135405,0.693496,0.191089,0.042071,0.06250499999999999,0.25,0.7683479999999999,0.641458,0.000269,0.135405
No,0.567362,0.14670999999999998,0.6963550000000001,0.23644400000000002,0.0,0.143027,0.25,0.46509700000000004,0.542821,0.00021,0.14670999999999998
No,0.109027,0.107153,0.6988310000000001,0.428676,0.434554,0.26063800000000004,0.25,0.742487,0.753771,0.00023999999999999998,0.107153
No,0.48281599999999997,0.146276,0.694501,0.187533,0.040769,0.130647,0.25,0.762992,0.756101,0.000665,0.146276
No,0.048806999999999996,0.141777,0.705924,0.20721599999999998,0.024214,0.407544,0.25,0.406641,0.585631,0.000234,0.141777
No,0.787381,0.166177,0.683941,0.15196199999999999,0.082096,0.010676999999999999,0.25,0.556578,0.697416,0.0007769999999999999,0.166177
No,0.049081,0.166932,0.689959,0.310217,0.09676900000000001,0.097846,0.25,0.591026,0.6385770000000001,0.000579,0.166932
No,0.520297,0.132878,0.701993,0.42288000000000003,0.12361199999999999,0.461143,0.25,0.36344899999999997,0.759804,0.000488,0.132878
No,0.476159,0.169723,0.691704,0.137554,0.140571,0.24249,0.25,0.743992,0.6667109999999999,0.000718,0.169723
Yes,0.391098,0.488504,0.6963060000000001,0.004792,0.017678,0.08177100000000001,0.5,0.304075,9.300000000000001e-05,0.0,0.488504
No,0.987042,0.152193,0.715807,0.14515,0.096755,0.044386,0.25,0.780254,0.7644989999999999,0.0008039999999999999,0.152193
No,0.370437,0.129733,0.675786,0.340045,0.179882,0.2593,0.25,0.446679,0.558643,0.000145,0.129733
Yes,0.150543,0.389938,0.6963159999999999,0.005801,0.010116,0.018837,0.75,0.054116,0.00125,0.0,0.389938
No,0.687629,0.047387,0.706095,0.334142,0.074835,0.196944,0.25,0.45924,0.645241,0.0,0.047387
No,0.371163,0.145393,0.677189,0.202925,0.072603,0.103198,0.25,0.762992,0.606587,0.000288,0.145393
Yes,0.822315,0.293525,0.696494,0.006901000000000001,0.071413,0.0,0.75,0.31351100000000004,0.007098999999999999,0.0,0.293525
Yes,0.156616,0.36941,0.695199,0.005258,0.050496,0.014181000000000001,0.5,0.393953,0.013808,1.4999999999999999e-05,0.36941
